Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,8450,1,0,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,1,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,2,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,2,2,2,0,2,2008,8,4,208500
3,60,3,68.0,11250,1,0,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,920,1,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,4,1,2001.0,1,2,608,4,4,2,0,42,0,0,0,0,2,2,2,0,9,2008,8,4,223500
5,60,3,84.0,14260,1,0,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1145,1,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,4,1,2000.0,1,3,836,4,4,2,192,84,0,0,0,0,2,2,2,0,12,2008,8,4,250000
7,20,3,75.0,10084,1,0,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,186.0,2,4,2,0,3,0,2,1369,5,0,317,1686,1,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,1,2004.0,1,2,636,4,4,2,255,57,0,0,0,0,2,2,2,0,8,2007,8,4,307000
11,20,3,70.0,11200,1,0,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,1,0.0,3,4,1,3,3,3,4,906,5,0,134,1040,1,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,2,5,1965.0,2,1,384,4,4,2,0,0,0,0,0,0,2,2,2,0,2,2008,8,4,129500
14,20,3,91.0,10652,1,0,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,306.0,2,4,2,2,3,0,5,0,5,0,1494,1494,1,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,1,2006.0,1,3,840,4,4,2,160,33,0,0,0,0,2,2,2,0,8,2007,6,5,279500
19,20,3,66.0,13695,1,0,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,1,0.0,3,4,2,3,3,3,2,646,5,0,468,1114,1,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,2,5,2004.0,2,2,576,4,4,2,0,102,0,0,0,0,2,2,2,0,6,2008,8,4,159000
20,20,3,70.0,7560,1,0,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,1,0.0,3,4,1,3,3,3,3,504,5,0,525,1029,1,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,2,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,2,2,2,0,5,2009,0,0,139000
21,60,3,101.0,14215,1,0,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,0,5,0,1158,1158,1,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,2,2,2,0,11,2006,6,5,325300
24,120,4,44.0,4224,1,0,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,1,0.0,3,4,2,2,3,3,2,840,5,0,200,1040,1,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,4,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,2,2,2,0,6,2007,8,4,129900
28,20,3,98.0,11478,1,0,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,200.0,2,4,2,0,3,3,2,1218,5,0,486,1704,1,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,2,2,2,0,5,2010,8,4,306000
32,20,3,69.0,8544,1,0,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,1,0.0,3,4,1,3,3,3,5,0,5,0,1228,1228,1,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,2,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,2,2,2,0,6,2008,8,4,149350
33,20,3,85.0,11049,1,0,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,1,0.0,2,4,2,0,3,0,5,0,5,0,1234,1234,1,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,2,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,2,2,2,0,1,2008,8,4,179900
35,120,3,60.0,7313,1,0,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,3,3,2,1153,5,0,408,1561,1,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,2,2,2,0,8,2007,8,4,277500
39,20,3,68.0,7922,1,0,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,1,0.0,3,2,1,3,3,3,2,731,5,0,326,1057,1,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,2,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,2,2,2,0,1,2010,8,0,109000
41,20,3,84.0,8658,1,0,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,3,3,3,4,643,5,0,445,1088,1,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,4,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,2,1,2,0,12,2006,8,0,160000
48,20,1,84.0,11096,1,0,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,1,0.0,2,4,2,2,3,0,2,24,5,0,1632,1656,1,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,2,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,2,2,2,0,7,2007,8,4,249700
50,20,3,66.0,7742,1,0,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,1,0.0,3,4,1,3,3,3,1,763,5,0,192,955,1,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,2,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,2,2,2,0,1,2007,8,4,127000
55,80,3,60.0,7134,1,0,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,1,0.0,3,4,1,3,3,3,0,384,5,0,0,384,1,4,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,4,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,2,2,2,0,2,2007,8,4,130000
58,60,3,89.0,11645,1,0,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,1,0.0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,2,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,2,2,2,0,8,2006,8,4,196500
60,20,3,60.0,7200,1,0,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,1,0.0,3,4,1,3,3,0,0,632,5,0,148,780,1,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,2,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,2,2,2,0,1,2008,8,4,124900
61,20,3,63.0,13072,1,0,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,1,0.0,3,4,2,2,3,3,0,941,5,0,217,1158,1,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,2,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,2,2,2,0,5,2006,6,5,158000
63,120,3,44.0,6442,1,0,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,2,178.0,2,4,2,2,1,2,2,24,5,0,1346,1370,1,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,2,2,2,0,10,2007,8,4,202500
66,60,3,76.0,9591,1,0,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,3,0,5,0,5,0,1143,1143,1,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,2,2,2,0,10,2007,8,4,317000
68,20,3,72.0,10665,1,0,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,2,4,2,2,3,0,2,1013,5,0,440,1453,1,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,2,1,2003.0,1,2,558,4,4,2,144,29,0,0,0,0,2,2,2,0,6,2007,8,4,226000
69,30,4,47.0,4608,1,0,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,1,0.0,3,2,1,3,3,3,5,0,5,0,747,747,1,4,1,4,747,0,0,747,0,0,1,0,2,1,3,4,6,0,2,1,1945.0,2,1,220,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2010,8,4,80000
72,20,3,69.0,7599,1,0,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,1,0.0,3,4,1,3,3,3,0,565,5,0,280,845,1,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,2,5,1987.0,2,2,360,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2007,8,4,129500
77,20,3,69.0,8475,1,0,0,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,1,0.0,3,4,1,3,3,3,0,228,5,0,724,952,1,0,1,0,952,0,0,952,0,0,1,0,2,1,3,4,6,0,2,5,1956.0,2,1,283,4,4,2,0,0,0,0,0,0,2,2,2,0,4,2008,8,4,135750
84,20,3,80.0,8892,1,0,0,3,0,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,0,66.0,3,4,1,3,3,3,5,0,5,0,1065,1065,1,2,1,4,1065,0,0,1065,0,0,1,1,3,1,3,6,6,0,2,5,1974.0,2,2,461,4,4,2,74,0,0,0,0,0,2,2,2,0,7,2007,0,4,126500
90,20,3,60.0,8070,1,0,3,3,0,4,0,5,2,2,0,2,4,5,1994,1995,1,1,12,13,1,0.0,3,4,2,2,3,3,2,588,5,0,402,990,1,0,1,4,990,0,0,990,1,0,1,0,3,1,3,5,6,0,2,1,1980.0,2,0,0,4,4,2,0,0,0,0,0,0,2,2,2,0,8,2007,8,4,123600
95,60,3,69.0,9337,1,0,0,3,0,4,0,5,2,2,0,5,6,5,1997,1997,1,1,12,13,1,0.0,3,2,2,2,3,3,2,648,5,0,176,824,1,0,1,4,905,881,0,1786,1,0,2,1,3,1,2,7,6,0,2,1,1997.0,1,2,684,4,4,2,0,162,0,0,0,0,2,2,2,0,5,2007,8,4,204750
97,20,3,78.0,10264,1,0,0,3,0,4,0,5,2,2,0,2,7,5,1999,1999,1,1,12,13,1,183.0,2,4,2,2,3,0,0,1162,5,0,426,1588,1,0,1,4,1588,0,0,1588,0,0,2,0,3,1,2,6,6,0,2,1,1999.0,1,2,472,4,4,2,158,29,0,0,0,0,2,2,2,0,8,2006,8,4,214000
98,20,3,73.0,10921,1,0,3,1,0,4,0,7,2,2,0,2,4,5,1965,1965,3,1,6,6,1,48.0,3,4,1,3,3,3,4,520,5,0,440,960,1,4,1,1,960,0,0,960,1,0,1,0,3,1,3,6,6,0,2,1,1965.0,0,1,432,4,4,1,120,0,0,0,0,0,2,2,2,0,5,2007,8,4,94750
101,20,3,69.0,10603,1,0,0,3,0,4,0,14,2,2,0,2,6,7,1977,2001,1,1,9,10,1,28.0,3,4,2,3,3,2,0,1200,5,0,410,1610,1,2,1,4,1610,0,0,1610,1,0,2,0,3,1,2,6,6,2,4,1,1977.0,1,2,480,4,4,2,168,68,0,0,0,0,2,2,2,0,2,2010,8,4,205000
102,60,3,77.0,9206,1,0,3,3,0,4,0,20,2,2,0,5,6,5,1985,1985,1,1,6,6,1,336.0,2,4,1,2,3,3,5,0,5,0,741,741,1,4,1,4,977,755,0,1732,0,0,2,1,3,1,2,7,6,1,4,1,1985.0,0,2,476,4,4,2,192,46,0,0,0,0,2,2,2,0,6,2010,8,4,178000
104,20,3,94.0,10402,1,0,0,3,0,0,0,5,2,2,0,2,7,5,2009,2009,1,1,12,13,1,0.0,3,4,2,2,3,3,5,0,5,0,1226,1226,1,0,1,4,1226,0,0,1226,0,0,2,0,3,1,2,6,6,0,2,1,2009.0,1,3,740,4,4,2,0,36,0,0,0,0,2,2,2,0,5,2010,8,4,198900
111,50,3,75.0,9525,1,0,3,3,0,4,0,7,2,2,0,0,6,4,1954,1972,1,1,13,14,1,0.0,3,4,1,3,0,3,4,444,5,0,550,994,1,2,1,4,1216,639,0,1855,0,0,2,0,4,1,3,7,6,0,2,1,1954.0,2,1,325,4,4,2,182,0,0,0,0,0,2,2,2,0,10,2006,8,4,136900
